service_id,date,exception_type
HI,20180525,2
FI,20180525,1
DI,20180617,2
FI,20180617,1
HI,20180620,2
FI,20180620,1
HI,20180709,2
FI,20180709,1
HI,20180820,2
FI,20180820,1
HI,20181015,2
FI,20181015,1
HI,20181119,2
FI,20181119,1
SI,20181208,2
FI,20181208,1
HI,20181224,2
SI,20181224,1
HI,20181225,2
FI,20181225,1
HI,20181231,2
SI,20181231,1
HI,20190101,2
FI,20190101,1
HI,20190304,2
FI,20190304,1
HI,20190305,2
FI,20190305,1
DI,20190324,2
FI,20190324,1
HI,20190402,2
FI,20190402,1
HI,20190419,2
FI,20190419,1
HI,20190501,2
FI,20190501,1
SI,20190525,2
FI,20190525,1
HI,20190617,2
FI,20190617,1
HI,20190620,2
FI,20190620,1
HI,20190709,2
FI,20190709,1
SI,20190817,2
FI,20190817,1
SI,20191012,2
FI,20191012,1
HI,20191118,2
FI,20191118,1
DI,20191208,2
FI,20191208,1
HI,20191224,2
SI,20191224,1
HI,20191225,2
FI,20191225,1
HI,20191231,2
SI,20191231,1
