trip_id,start_time,end_time,headway_secs,exact_times
579HI0,16:02:00,19:04:00,420,0
579HI0,19:04:00,21:09:00,750,0
579HI0,21:09:00,23:54:01,900,0
579SI0,00:15:00,05:45:00,1800,0
579SI0,05:45:00,06:05:00,1200,0
579SI0,06:05:00,07:05:00,1800,0
579SI0,07:05:00,07:20:00,900,0
579SI0,07:20:00,15:32:00,720,0
579SI0,15:32:00,15:50:00,1080,0
579SI0,15:50:00,22:10:00,1200,0
579SI0,22:10:00,23:55:00,900,0
579DI1,00:05:00,07:05:00,1800,0
579DI1,07:05:00,07:34:00,1740,0
579DI1,07:34:00,21:14:00,1200,0
579DI1,21:14:00,21:35:01,1260,0
579DI1,21:35:01,22:05:00,1800,0
579DI1,22:05:00,23:50:01,900,0
579FI1,00:05:00,07:05:00,1800,0
579FI1,07:05:00,07:34:00,1740,0
579FI1,07:34:00,21:14:00,1200,0
579FI1,21:14:00,21:35:01,1260,0
579FI1,21:35:01,22:05:00,1800,0
579FI1,22:05:00,23:50:01,900,0
579HI1,00:05:00,04:35:00,1800,0
579HI1,04:35:00,05:35:01,1200,0
579HI1,05:35:01,06:00:00,1500,0
579HI1,06:00:00,09:02:00,420,0
579HI1,09:02:00,14:01:00,690,0
579HI1,14:01:00,17:59:00,420,0
579HI1,17:59:00,19:59:00,720,0
579HI1,19:59:00,21:26:00,870,0
579HI1,21:26:00,22:05:00,1170,0
579HI1,22:05:00,23:50:01,900,0
579SI1,00:05:00,04:35:00,1800,0
579SI1,04:35:00,04:55:00,1200,0
660HI1,21:20:00,23:50:01,900,0
660SI1,00:05:00,00:50:00,900,0
660SI1,00:50:00,03:50:00,1800,0
660SI1,03:50:00,04:26:00,2160,0
660SI1,04:26:00,04:56:00,1800,0
660SI1,04:56:00,05:22:01,1560,0
660SI1,05:22:01,14:32:00,750,0
660SI1,14:32:00,21:20:00,1020,0
660SI1,21:20:00,23:50:01,900,0
661DI0,00:00:00,04:00:00,3600,0
661DI0,04:00:00,08:00:00,1800,0
661DI0,08:00:00,23:45:00,900,0
661FI0,00:00:00,04:00:00,3600,0
661FI0,04:00:00,08:00:00,1800,0
661FI0,08:00:00,23:45:00,900,0
661HI0,00:00:00,04:00:00,3600,0
661HI0,04:00:00,06:00:00,1200,0
661HI0,06:00:00,10:00:00,450,0
661HI0,10:00:00,20:00:00,480,0
661HI0,20:00:00,21:00:00,720,0
661HI0,21:00:00,22:00:00,900,0
661HI0,22:00:00,23:30:00,1800,0
661SI0,00:00:00,04:00:00,3600,0
661SI0,04:00:00,06:00:00,1200,0
661SI0,06:00:00,23:45:00,900,0
661DI1,00:00:00,04:00:00,3600,0
661DI1,04:00:00,08:00:00,1800,0
661DI1,08:00:00,23:45:00,900,0
661FI1,00:00:00,04:00:00,3600,0
661FI1,04:00:00,08:00:00,1800,0
661FI1,08:00:00,23:45:00,900,0
661HI1,00:00:00,04:00:00,3600,0
661HI1,04:00:00,06:00:00,1200,0
661HI1,06:00:00,10:00:00,450,0
668SI1,06:35:01,07:23:00,960,0
668SI1,07:23:00,08:05:00,840,0
668SI1,08:05:00,09:25:00,960,0
668SI1,09:25:00,10:21:01,840,0
668SI1,10:21:01,11:41:00,960,0
668SI1,11:41:00,13:33:00,840,0
668SI1,13:33:00,14:37:00,960,0
668SI1,14:37:00,18:21:00,840,0
668SI1,18:21:00,18:37:00,960,0
668SI1,18:37:00,18:52:00,900,0
668SI1,18:52:00,19:40:00,960,0
668SI1,19:40:00,21:00:00,1200,0
668SI1,21:00:00,22:15:00,1500,0
668SI1,22:15:00,23:45:00,1800,0
