route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
100,14,7A,JNAMBA007,Retiro - Pque. Nicolas Avellaneda ,3,,,
101,15,42A,JNAMBA042,Alcorta - Cdad. Universitaria,3,,,
102,4,107A,JNAMBA107,Eva Peron - Cdad. Universitaria,3,,,
103,16,108A,JNAMBA108,Retiro - Croacia y Bergamini ,3,,,
1036,98,276A,JPBSAS276,Lujan - Carme de Areco,3,,,
1037,98,276E,JPBSAS276,Pilar - San Andes de Giles,3,,,
1038,98,276F,JPBSAS276,Lujan - Partido de las Palmas,3,,,
1039,98,276C,JPBSAS276,Pilar - Cement.,3,,,
104,17,10A,JNAMBA010,Est. Tres de Febrero - Villa Dominico,3,,,
1040,98,276B,JPBSAS276,Pilar - Clun Marina,3,,,
1042,98,276H,JPBSAS276,Pilar - Entrada El Cazador,3,,,
1043,98,276D,JPBSAS276,Pilar - Chechela,3,,,
1044,41,64D,JNAMBA064,Av. Paseo Colón y Av. Juan de Garay - Est. Belgrano x Hipodromo ,3,,,
105,18,17A,JNAMBA017,Wilde - Fac. de Derecho,3,,,
1050,128,580A,JMQUIL580,Jalon,3,,,
106,11,9A,JNAMBA009,Retiro x José María Moreno - Villa Caraza ,3,,,
1063,131,228-4FA,JPBSAS228F,Pte. Saavedra - del Viso - Est. Toro,3,,,
107,11,9B,JNAMBA009,Retiro x Cnel. Castro - Villa Caraza ,3,,,
108,26,22A,JNAMBA022,Retiro - Cno. Centenario y Lavalleja ,3,,,
1087,95,371A,JPBSAS371,Est. Virreyes - Bº Aviación,3,,,
1088,95,371B,JPBSAS371,Est. Virreyes - Boulogno x Fate,3,,,
1089,95,371C,JPBSAS371,Est. Virreyes - Boulogne x Calle 8,3,,,
109,26,22B,JNAMBA022,Retiro - Est. Quilmes ,3,,,
1090,95,371D,JPBSAS371,Rotonda de Acasusso - Est. Don Torcuato,3,,,
1091,95,371E,JPBSAS371,Est. Don Torcuato - Pte. Melo,3,,,
1107,102,278A,JPBSAS278,Ramal A,3,,,
111,27,71A,JNAMBA071,Pza. Miserere - Est. Villa Adelina x C. Larralde y Av. Maipu ,3,,,
1111,102,281L,JPBSAS281,Ramal L,3,,,
1114,102,585A,JMQUIL585,Ramal Rojo,3,,,
1115,102,585B,JMQUIL585,Ramal Verde,3,,,
112,27,71B,JNAMBA071,Pza. Miserere - Est. Villa Adelina x Au. Palazzo ,3,,,
113,29,106A,JNAMBA106,Est. Liniers - Retiro,3,,,
114,24,109A,JNAMBA109,Est. Liniers - Correo Central,3,,,
1146,129,275B,JPBSAS275,Boca Cerrada,3,,,
1147,129,275C,JPBSAS275,Punta Lara x Bossigna,3,,,
1149,129,275E,JPBSAS275,Mosconi,3,,,
115,19,110A,JNAMBA110,Fac. de Derecho - Saavedra x Saavedra,3,,,
1152,129,275H,JPBSAS275,Siderar,3,,,
1155,129,275K,JPBSAS275,Arroyo El Gato,3,,,
116,19,110B,JNAMBA110,Fac. de Derecho - Saavedra x Constituyentes,3,,,
117,23,146A,JNAMBA146,Ciudadela - Correo Central,3,,,
1176,158,202B,JPBSAS202,Ramal B,3,,,
1177,158,202C,JPBSAS202,Ramal C,3,,,
1178,158,202D,JPBSAS202,Ramal D,3,,,
118,20,152A,JNAMBA152,La Boca - Olivos,3,,,
1180,158,202F,JPBSAS202,Ramal F,3,,,
1182,158,202H,JPBSAS202,Ramal H,3,,,
