route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
579,HI,579HI0,L (Azul) Alpargatas,159A,0,,5790,,
579,SI,579SI0,L (Azul) Alpargatas,159A,0,,5790,,
579,DI,579DI1,L (Azul) Correo Central,159A,1,,5791,,
579,FI,579FI1,L (Azul) Correo Central,159A,1,,5791,,
579,HI,579HI1,L (Azul) Correo Central,159A,1,,5791,,
579,SI,579SI1,L (Azul) Correo Central,159A,1,,5791,,
660,HI,660HI1,Ramal 1 - VUELTA,179A,1,,6601,,
660,SI,660SI1,Ramal 1 - VUELTA,179A,1,,6601,,
661,DI,661DI0,x 155 - IDA,180A,0,,6610,,
661,FI,661FI0,x 155 - IDA,180A,0,,6610,,
661,HI,661HI0,x 155 - IDA,180A,0,,6610,,
661,SI,661SI0,x 155 - IDA,180A,0,,6610,,
661,DI,661DI1,x 155 - VUELTA,180A,1,,6611,,
661,FI,661FI1,x 155 - VUELTA,180A,1,,6611,,
661,HI,661HI1,x 155 - VUELTA,180A,1,,6611,,
668,SI,668SI1,3 - Pque. Avellaneda x Emaús,182C,1,,6681,,
669,DI,669DI0,A - Liniers,185A,0,,6690,,
669,FI,669FI0,A - Liniers,185A,0,,6690,,
669,HI,669HI0,A - Liniers,185A,0,,6690,,
669,SI,669SI0,A - Liniers,185A,0,,6690,,
669,DI,669DI1,A - Bº Gral. Savio,185A,1,,6691,,
669,FI,669FI1,A - Bº Gral. Savio,185A,1,,6691,,
1176,SI,1176SI0,B x 1 (ROJO),202B,0,,11760,,
1176,DI,1176DI1,B x 1 LOS TALAS (ROJO),202B,1,,11761,,
1176,HI,1176HI1,B x 1 LOS TALAS (ROJO),202B,1,,11761,,
1176,SI,1176SI1,B x 1 LOS TALAS (ROJO),202B,1,,11761,,
1177,DI,1177DI0,C x 60 (BLANCO),202C,0,,11770,,
1177,HI,1177HI0,C x 60 (BLANCO),202C,0,,11770,,
1177,SI,1177SI0,C x 60 (BLANCO),202C,0,,11770,,
1177,DI,1177DI1,C x 60 LOS TALAS (BLANCO),202C,1,,11771,,
1177,HI,1177HI1,C x 60 LOS TALAS (BLANCO),202C,1,,11771,,
1177,SI,1177SI1,C x 60 LOS TALAS (BLANCO),202C,1,,11771,,
1178,DI,1178DI0,D x 1 (BLANCA),202D,0,,11780,,
1280,SI,1280SI0,Alto A,060F,0,,12800,,
1280,DI,1280DI1,a Constitución,060F,1,,12801,,
1280,FI,1280FI1,a Constitución,060F,1,,12801,,
1280,HI,1280HI1,a Constitución,060F,1,,12801,,
1280,SI,1280SI1,a Constitución,060F,1,,12801,,
1281,DI,1281DI0,hasta Pte. Saavedra,060G,0,,12810,,
1281,FI,1281FI0,hasta Pte. Saavedra,060G,0,,12810,,
1281,HI,1281HI0,hasta Pte. Saavedra,060G,0,,12810,,
1281,SI,1281SI0,hasta Pte. Saavedra,060G,0,,12810,,
1281,DI,1281DI1,a Constitución,060G,1,,12811,,
1281,FI,1281FI1,a Constitución,060G,1,,12811,,
1281,HI,1281HI1,a Constitución,060G,1,,12811,,
1281,SI,1281SI1,a Constitución,060G,1,,12811,,
1282,DI,1282DI0,Alto R,060H,0,,12820,,
1282,FI,1282FI0,Alto R,060H,0,,12820,,
1477,HI,1477HI0,x Juramento - IDA,463C,0,,14770,,
1477,SI,1477SI0,x Juramento - IDA,463C,0,,14770,,
1477,DI,1477DI1,x Juramento - VUELTA,463C,1,,14771,,
1477,HI,1477HI1,x Juramento - VUELTA,463C,1,,14771,,
1477,SI,1477SI1,x Juramento - VUELTA,463C,1,,14771,,
1478,DI,1478DI0,x Ruben Dario - IDA,463D,0,,14780,,
1478,HI,1478HI0,x Ruben Dario - IDA,463D,0,,14780,,
1478,SI,1478SI0,x Ruben Dario - IDA,463D,0,,14780,,
1478,DI,1478DI1,x Ruben Dario - VUELTA,463D,1,,14781,,
1478,HI,1478HI1,x Ruben Dario - VUELTA,463D,1,,14781,,
1478,SI,1478SI1,x Ruben Dario - VUELTA,463D,1,,14781,,
1668,DI,1668DI1,Maipú x Congreso - VUELTA,071C,1,,16681,,
1668,FI,1668FI1,Maipú x Congreso - VUELTA,071C,1,,16681,,
1668,HI,1668HI1,Maipú x Congreso - VUELTA,071C,1,,16681,,
1668,SI,1668SI1,Maipú x Congreso - VUELTA,071C,1,,16681,,
1669,HI,1669HI0,a Philips,076B,0,,16690,,
1669,HI,1669HI1,a Rabanal x Saenz,076B,1,,16691,,
1670,DI,1670DI0,H - V. del Plata,148D,0,,16700,,
1670,FI,1670FI0,H - V. del Plata,148D,0,,16700,,
1792,DI,1792DI0,a Pontevedra,096AB,0,,17920,,
1792,FI,1792FI0,a Pontevedra,096AB,0,,17920,,
1792,HI,1792HI0,a Pontevedra,096AB,0,,17920,,
1792,SI,1792SI0,a Pontevedra,096AB,0,,17920,,
1792,DI,1792DI1,Expreso x Av. Alberdi - Pza. Constitución,096AB,1,,17921,,
1792,FI,1792FI1,Expreso x Av. Alberdi - Pza. Constitución,096AB,1,,17921,,
1792,HI,1792HI1,Expreso x Av. Alberdi - Pza. Constitución,096AB,1,,17921,,
1792,SI,1792SI1,Expreso x Av. Alberdi - Pza. Constitución,096AB,1,,17921,,
1793,SI,1793SI0,a Est. Rafael Castillo,096AC,0,,17930,,
1793,SI,1793SI1,a Expreso x Autop. - Pza. Constitución,096AC,1,,17931,,
1794,HI,1794HI0,a Bº San Alberto,096AD,0,,17940,,
1794,HI,1794HI1,Expreso x Autop. y Pto. Moreno - Pza Constitución,096AD,1,,17941,,
1795,HI,1795HI0,a Villa Scasso,096AE,0,,17950,,
1795,HI,1795HI1,a Expreso x Autop.,096AE,1,,17951,,
1796,DI,1796DI0,a Villa Scasso,096AF,0,,17960,,
1796,FI,1796FI0,a Villa Scasso,096AF,0,,17960,,
