stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,wheelchair_boarding
11143,,F.Medicina a Catedral y C.Tucuman - Cordoba 2125,Vestibulo intermedio - Escalera pedestre,-34.599683118106,-58.397604384784,,,2,1114,2
11146,,F.Medicina a Catedral y C.Tucuman - Cordoba 2124,Vestibulo intermedio - Escalera pedestre,-34.599879721076,-58.397657130188,,,2,1114,2
11144,,F.Medicina a Catedral y C.Tucuman - Cordoba 2150,Vestibulo intermedio - Escalera pedestre,-34.599882811796,-58.398018558274,,,2,1114,2
11142,,F.Medicina a Catedral y C.Tucuman - Cordoba 2156,Anden a C. de Tucuman - Ascensor - Accesible,-34.599857187272,-58.398338044014,,,2,1114,1
1164S,,Retiro,,-34.59210278,-58.37609722,4,,0,1164,1
1165N,,Catalinas,,-34.59655556,-58.37205278,4,,0,1165,1
1165S,,Catalinas,,-34.59646111,-58.37195,4,,0,1165,1
1166N,,Correo Central,,-34.60362222,-58.37019444,4,,0,1166,1
1166S,,Correo Central,,-34.60342778,-58.37005833,4,,0,1166,1
11641,,Retiro a Virreyes - Av. Ramos Mejia 1301,Vestibulo intermedio - Escalera pedestre,-34.59261111,-58.37544722,,,2,1164,2
11643,,Retiro a Virreyes - Av. Del Libertador 125,Salida unicamente - Escalera mecanica,-34.59254167,-58.37572222,,,2,1164,2
11645,,Retiro a Virreyes - Av. Del Libertador 145,Vestibulo intermedio - Ascensor - Accesible,-34.59233889,-58.375925,,,2,1164,1
11647,,Retiro a Virreyes - Av. Del Libertador 185,Vestibulo intermedio - Escalera pedestre,-34.59200278,-58.37624167,,,2,1164,2
11642,,Retiro a Virreyes - Juncal 600,Escalera pedestre y mecanica,-34.59289722,-58.37621389,,,2,1164,2
11644,,Retiro a Virreyes - Basabilvaso 1363,Vestibulo intermedio - Escalera pedestre,-34.59266389,-58.37682222,,,2,1164,2
11651,,Catalinas a Virreyes y Retiro - Av. Alem 951,Escalera pedestre y mecanica,-34.59678056,-58.37176389,,,2,1165,2
11652,,Catalinas a Virreyes y Retiro - Av. Alem 910,Vestibulo intermedio - Escalera pedestre,-34.59703056,-58.37215833,,,2,1165,2
11653,,Catalinas a Virreyes y Retiro - Av. Alem 951,Vestibulo intermedio - Ascensor - Accesible,-34.59664722,-58.37182778,,,2,1165,1
11654,,Catalinas a Virreyes y Retiro - Av. Alem 996,Salida unicamente - Escalera mecanica,-34.59640278,-58.37236944,,,2,1165,2
11662,,C. Central a Virreyes y Retiro - Corrientes 212,Vestibulo intermedio - Escalera pedestre,-34.603325,-58.37053889,,,2,1166,2
11666,,C. Central a Virreyes y Retiro - Av. Alem 322,Salida unicamente - Escalera mecanica,-34.60395556,-58.37036111,,,2,1166,2
11668,,C. Central a Virreyes y Retiro - Av. Alem 286,Vestibulo intermedio - Escalera pedestre,-34.60454722,-58.37032222,,,2,1166,2
11669,,C. Central a Virreyes y Retiro - Av. Alem 345,Vestibulo intermedio - Ascensor - Accesible,-34.60358611,-58.36978056,,,2,1166,1
116611,,C. Central a Virreyes y Retiro - Sarmiento 151,Escalera pedestre y mecanica,-34.60371667,-58.36957222,,,2,1166,2
10993,,D.Norte a Retiro y Constitucion - Sarmiento 865,Escalera mecanica y pedestre,-34.60486389,-58.37895278,,,2,1099,2
11147,,F.Medicina a Catedral y C.Tucuman - Pza Houssay,Vestibulo intermedio - Escalera pedestre,-34.599375,-58.39791667,,,2,1114,2
10915,,C. Pellegrini a Rosas y Alem - Cerrito 458,Escalera pedestre - Galeria Obelisco Norte,-34.60301667,-58.38260278,,,2,1091,2
11178,,9 de Julio a Catedral y C. de Tucuman - Cerrito 37,Escalera pedestre - Galeria Obelisco Sur,-34.60423889,-58.382275,,,2,1117,2
11065,,Olleros a Catedral y C. de Tucuman - Cabildo 705,Salvaescaleras,-34.57034444,-58.44412778,,,2,1106,1
11056,,J.Hernandez a Catedral y C.Tucuman - Cabildo 1574,Salvaescaleras,-34.56650278,-58.45191111,,,2,1105,1
11135,,Pueyrredon a Catedral y C.Tucuman-Pueyrredon 1340,Salida unicamente - Vestibulo/Exterior,-34.59535,-58.40285,,,2,1113,2
1164N,,Retiro,,-34.59219722,-58.37619167,4,,0,1164,1
1059N,,San Pedrito,,-34.630922591443,-58.470433205504,4,,0,1059,1
1059S,,San Pedrito,,-34.630922591443,-58.470433205504,4,,0,1059,1
1060N,,San Jose de Flores,,-34.629054501979,-58.463536343831,4,,0,1060,1
1060S,,San Jose de Flores,,-34.629054501979,-58.463536343831,4,,0,1060,1
1061N,,Carabobo,,-34.626422392738,-58.456044495010,4,,0,1061,1
1061S,,Carabobo,,-34.626422392738,-58.456044495010,4,,0,1061,1
1062N,,Puan,,-34.623571847053,-58.448787778687,4,,0,1062,1
1062S,,Puan,,-34.623571847053,-58.448787778687,4,,0,1062,1
1063N,,Primera Junta,,-34.620460192436,-58.441400975016,4,,0,1063,2
