stop_id,stop_name,stop_lat,stop_lon
154,González Catán,-34.7714637,-58.6465457
178,Independencia,-34.7607983,-58.6173412
180,Ing. Budge,-34.7186633,-58.4621518
184,Isidro Casanova,-34.7044639,-58.5879899
203,Justo Villegas,-34.7089650,-58.5519393
209,Laferrere,-34.7506533,-58.5842500
220,La Salada,-34.7188075,-58.4727139
232,Libertad,-34.6921774,-58.6861877
256,María Eva Duarte,-34.7564804,-58.6020446
260,Marinos del Fournier,-34.6901777,-58.5076299
313,Presidente Illia,-34.6661376,-58.4502223
315,Puente Alsina,-34.6614611,-58.4145870
321,Querandí,-34.7223687,-58.5307279
325,Rafael Castillo,-34.6996965,-58.6261936
150,General Urquiza,-34.5747120,-58.4878391
181,Ingeniero Castello,-34.7105416,-58.5063521
354,Sánchez de Mendeville,-34.7124465,-58.5238732
270,Merlo Gómez,-34.6971714,-58.6462658
146,Gándara,-35.4497875,-58.0937313
464,"Km. 34,5",-34.6801742,-58.7602409
195,José Ingenieros,-34.7107620,-58.5372560
525,Dr. Sáenz nueva,-34.6490835,-58.4158387
526,20 de Junio,-34.7802549,-58.7378366
1,3 de Febrero,-34.5717485,-58.4249824
139,Flores,-34.6278504,-58.4661766
22,Apeadero Km. 12,-34.7100582,-58.5059269
37,Benavídez,-34.4091705,-58.6847612
21,Apeadero Kloosterman,-34.9863555,-58.6895825
25,Arquitectura,-34.9049408,-57.9431423
29,Bancalari,-34.4796651,-58.6029298
30,Banfield,-34.7436106,-58.3954246
32,Béccar,-34.4608043,-58.5265437
34,Belgrano C,-34.5588016,-58.4489445
35,Belgrano R,-34.5680506,-58.4618081
36,Bella Vista,-34.5638352,-58.6845919
38,Berazategui,-34.7640977,-58.2084433
39,Bernal,-34.7092611,-58.2805690
42,Borges,-34.5081513,-58.4845536
43,Bosques,-34.8195986,-58.2300795
49,Burzaco,-34.8251482,-58.3913722
50,Caballito,-34.6192442,-58.4436522
51,Cabred,-34.4878244,-59.0756580
55,Campana,-34.1565823,-58.9610031
58,Canal San Fernando,-34.4299116,-58.5629211
60,Cañuelas,-35.0592254,-58.7541775
61,Capilla del Señor,-34.2866198,-59.1021904
64,Carlos Spegazzini,-34.9099069,-58.5942645
65,Carupá,-34.4375361,-58.5674401
67,Caseros,-34.6045861,-58.5644918
70,Castelar,-34.6521562,-58.6425261
79,Chilavert,-34.5422320,-58.5669170
83,City Bell,-34.8657239,-58.0420495
84,Ciudadela,-34.6399227,-58.5411225
85,Claypole,-34.8011800,-58.3382367
90,Coghlan,-34.5652607,-58.4753485
91,Colegiales,-34.5729746,-58.4482530
102,Dante Ardigó,-34.8083880,-58.3048296
104,Delta,-34.4190030,-58.5761953
106,Derqui,-34.4909537,-58.8384456
112,Devoto,-34.6026515,-58.5124313
113,Diagonal 73,-34.9203270,-57.9190436
115,Don Bosco,-34.7033242,-58.2961718
118,Dr. A. Schweitzer,-34.4720989,-58.5744514
