agency_id,agency_name,agency_url,agency_timezone,agency_lang,agency_phone,agency_fare_url
2,TRANSP. SGTO. CABRAL,https://www.argentina.gob.ar/cnrt,America/Argentina/Buenos_Aires,ES,,
3,D.O.T.A. S.A. DE TRANSPORTE AUTOMOTOR,https://www.argentina.gob.ar/cnrt,America/Argentina/Buenos_Aires,ES,,
4,NUDO S.A.,https://www.argentina.gob.ar/cnrt,America/Argentina/Buenos_Aires,ES,,
5,TRANSPORTES RIO GRANDE S.A.C.I.F.,https://www.argentina.gob.ar/cnrt,America/Argentina/Buenos_Aires,ES,,
6,TRANSPORTES AUTOMOTORES CALLAO S.A.,https://www.argentina.gob.ar/cnrt,America/Argentina/Buenos_Aires,ES,,
7,TRANSPORTES AUTOMOTORES RIACHUELO S.A.,https://www.argentina.gob.ar/cnrt,America/Argentina/Buenos_Aires,ES,,
8,M.O.D.O. S.A. DE TRANSPORTE AUTOMOTOR,https://www.argentina.gob.ar/cnrt,America/Argentina/Buenos_Aires,ES,,
9,LA NUEVA METROPOL S.A.,https://www.argentina.gob.ar/cnrt,America/Argentina/Buenos_Aires,ES,,
10,TRANSPORTES LOPE DE VEGA S.A.C.I.,https://www.argentina.gob.ar/cnrt,America/Argentina/Buenos_Aires,ES,,
11,GENERAL TOMAS GUIDO S.A.C.I.F.,https://www.argentina.gob.ar/cnrt,America/Argentina/Buenos_Aires,ES,,
12,NUEVOS RUMBOS S.A.T.A.C.I.F.I.,https://www.argentina.gob.ar/cnrt,America/Argentina/Buenos_Aires,ES,,
13,17 DE AGOSTO S.A.,https://www.argentina.gob.ar/cnrt,America/Argentina/Buenos_Aires,ES,,
14,TRANSP. AUTOMOTORES 12 DE OCTUBRE S.A.C.,https://www.argentina.gob.ar/cnrt,America/Argentina/Buenos_Aires,ES,,
15,TRANSPORTES COLEGIALES S.A.C.I.,https://www.argentina.gob.ar/cnrt,America/Argentina/Buenos_Aires,ES,,
16,EMPRESA DE TRANSP. TTE. GRAL. ROCA S.A,https://www.argentina.gob.ar/cnrt,America/Argentina/Buenos_Aires,ES,,
17,LINEA 10 S.A.,https://www.argentina.gob.ar/cnrt,America/Argentina/Buenos_Aires,ES,,
18,LINEA 17 S.A.,https://www.argentina.gob.ar/cnrt,America/Argentina/Buenos_Aires,ES,,
19,GENERAL PUEYRREDON S.A.T.C.I.,https://www.argentina.gob.ar/cnrt,America/Argentina/Buenos_Aires,ES,,
20,EMPRESA TANDILENSE S.A.C.I.F.I.Y DE S.,https://www.argentina.gob.ar/cnrt,America/Argentina/Buenos_Aires,ES,,
21,TRANSPORTE LARRAZABAL C.I.S.A.,https://www.argentina.gob.ar/cnrt,America/Argentina/Buenos_Aires,ES,,
22,LOS CONSTITUYENTES S.A.T.,https://www.argentina.gob.ar/cnrt,America/Argentina/Buenos_Aires,ES,,
23,ROCARAZA S.A.,https://www.argentina.gob.ar/cnrt,America/Argentina/Buenos_Aires,ES,,
24,TRANSPORTE NUEVE DE JULIO SAC.,https://www.argentina.gob.ar/cnrt,America/Argentina/Buenos_Aires,ES,,
25,LA CENTRAL DE VICENTE LOPEZ S.A.,https://www.argentina.gob.ar/cnrt,America/Argentina/Buenos_Aires,ES,,
26,LINEA 22 S.A.,https://www.argentina.gob.ar/cnrt,America/Argentina/Buenos_Aires,ES,,
27,LINEA 71 S.A.,https://www.argentina.gob.ar/cnrt,America/Argentina/Buenos_Aires,ES,,
29,COLECTIVEROS UNIDOS S.A.,https://www.argentina.gob.ar/cnrt,America/Argentina/Buenos_Aires,ES,,
30,BERNARDINO RIVADAVIA S.A.T.A.,https://www.argentina.gob.ar/cnrt,America/Argentina/Buenos_Aires,ES,,
31,EL PUENTE S.A.T.,https://www.argentina.gob.ar/cnrt,America/Argentina/Buenos_Aires,ES,,
32,TRANSPORTES AVENIDA BERNARDO ADER S.A.,https://www.argentina.gob.ar/cnrt,America/Argentina/Buenos_Aires,ES,,
33,TRANSPORTE ESCALADA S.A.T.,https://www.argentina.gob.ar/cnrt,America/Argentina/Buenos_Aires,ES,,
34,TRANSPORTES SAN CAYETANO S.A.C.,https://www.argentina.gob.ar/cnrt,America/Argentina/Buenos_Aires,ES,,
35,EMP.TRANSP.AUTOM.DE PASAJEROS S.A.C.I.F.,https://www.argentina.gob.ar/cnrt,America/Argentina/Buenos_Aires,ES,,
36,JUAN B. JUSTO S.A.T.C.I.,https://www.argentina.gob.ar/cnrt,America/Argentina/Buenos_Aires,ES,,
37,TTES.AUTOMOTORES DE PASAJEROS SIGLO XXI SA,https://www.argentina.gob.ar/cnrt,America/Argentina/Buenos_Aires,ES,,
39,TRANSPORTES SESENTA Y OCHO S.R.L.,https://www.argentina.gob.ar/cnrt,America/Argentina/Buenos_Aires,ES,,
40,TRANPORTES VEINTIDOS DE SETIEMBRE S.A.C.,https://www.argentina.gob.ar/cnrt,America/Argentina/Buenos_Aires,ES,,
41,VUELTA DE ROCHA S.A.T.C.I.,https://www.argentina.gob.ar/cnrt,America/Argentina/Buenos_Aires,ES,,
42,MICROOMNIBUS BARRANCAS DE BELGRANO S.A.,https://www.argentina.gob.ar/cnrt,America/Argentina/Buenos_Aires,ES,,
43,CARDENAS S.A. EMPRESA DE TRANSPORTES,https://www.argentina.gob.ar/cnrt,America/Argentina/Buenos_Aires,ES,,
44,EMPRESA DE TRANSPORTES 104 S.R.L.,https://www.argentina.gob.ar/cnrt,America/Argentina/Buenos_Aires,ES,,
46,MAYO S.A.T.A.,https://www.argentina.gob.ar/cnrt,America/Argentina/Buenos_Aires,ES,,
47,EMP.DE TRANSP. PEDRO DE MENDOZA C.I.S.A.,https://www.argentina.gob.ar/cnrt,America/Argentina/Buenos_Aires,ES,,
48,EMPRESA DE TRANSP. MARIANO MORENO S.A.,https://www.argentina.gob.ar/cnrt,America/Argentina/Buenos_Aires,ES,,
49,AZUL S.A. DE TRANSPORTE AUTOMOTOR,https://www.argentina.gob.ar/cnrt,America/Argentina/Buenos_Aires,ES,,
50,EMPRESA ANTARTIDA ARGENTINA S.A.T.,https://www.argentina.gob.ar/cnrt,America/Argentina/Buenos_Aires,ES,,
51,4 DE SEPTIEMBRE S.A.T.C.P.,https://www.argentina.gob.ar/cnrt,America/Argentina/Buenos_Aires,ES,,
52,LINEA DE MICROOMNIBUS 47 S.A.T.C.F.I.,https://www.argentina.gob.ar/cnrt,America/Argentina/Buenos_Aires,ES,,
53,TRANSPORTES NUEVA CHICAGO C.I.S.A.,https://www.argentina.gob.ar/cnrt,America/Argentina/Buenos_Aires,ES,,
54,EMPRESA LINEA 216 S.A.T.,https://www.argentina.gob.ar/cnrt,America/Argentina/Buenos_Aires,ES,,
55,TRANSPORTES SUR-NOR C.I.S.A.,https://www.argentina.gob.ar/cnrt,America/Argentina/Buenos_Aires,ES,,
56,TRANSPORTES SANTA FE S.A.C.I.,https://www.argentina.gob.ar/cnrt,America/Argentina/Buenos_Aires,ES,,
57,BUENOS AIRES BUS SOCIEDAD ANONIMA,https://www.argentina.gob.ar/cnrt,America/Argentina/Buenos_Aires,ES,,
58,LINEA 213 S.A. DE TRANSPORTE,https://www.argentina.gob.ar/cnrt,America/Argentina/Buenos_Aires,ES,,
59,SOCIEDAD ANONIMA EXPRESO SUDOESTE,https://www.argentina.gob.ar/cnrt,America/Argentina/Buenos_Aires,ES,,
60,TRANSPORTE IDEAL SAN JUSTO S.A.,https://www.argentina.gob.ar/cnrt,America/Argentina/Buenos_Aires,ES,,
61,BUS DEL OESTE S.A.,https://www.argentina.gob.ar/cnrt,America/Argentina/Buenos_Aires,ES,,
62,EXPRESO QUILMES S.A.,https://www.argentina.gob.ar/cnrt,America/Argentina/Buenos_Aires,ES,,
63,EL NUEVO HALCON S.A.,https://www.argentina.gob.ar/cnrt,America/Argentina/Buenos_Aires,ES,,
64,MICRO OMNIBUS SUR S.A.C.,https://www.argentina.gob.ar/cnrt,America/Argentina/Buenos_Aires,ES,,
65,EXPRESO GENERAL SARMIENTO S.A.,https://www.argentina.gob.ar/cnrt,America/Argentina/Buenos_Aires,ES,,
66,GRUPO LINEA 179 S.A.,https://www.argentina.gob.ar/cnrt,America/Argentina/Buenos_Aires,ES,,
68,SAN VICENTE S.A. DE TRANSPORTES,https://www.argentina.gob.ar/cnrt,America/Argentina/Buenos_Aires,ES,,
69,MICRO OMNIBUS NORTE S.A.,https://www.argentina.gob.ar/cnrt,America/Argentina/Buenos_Aires,ES,,
70,TRANSPORTES ATLANTIDA S.A.C.,https://www.argentina.gob.ar/cnrt,America/Argentina/Buenos_Aires,ES,,
71,EMPRESA DE TRANSPORTES AMERICA S.A.C.I.,https://www.argentina.gob.ar/cnrt,America/Argentina/Buenos_Aires,ES,,
72,MICRO OMNIBUS QUILMES S.A.C.I. Y F.,https://www.argentina.gob.ar/cnrt,America/Argentina/Buenos_Aires,ES,,
73,UNION TRANSPORTISTAS DE EMPRESAS SA,https://www.argentina.gob.ar/cnrt,America/Argentina/Buenos_Aires,ES,,
74,LA CABAÑA S.A.,https://www.argentina.gob.ar/cnrt,America/Argentina/Buenos_Aires,ES,,
75,COMPAÑIA MICROOMNIBUS LA COLORADA SACI,https://www.argentina.gob.ar/cnrt,America/Argentina/Buenos_Aires,ES,,
76,LA VECINAL DE MATANZA SACI. DE MICROOMNIBUS,https://www.argentina.gob.ar/cnrt,America/Argentina/Buenos_Aires,ES,,
77,SARGENTO CABRAL S.A.DE TRANSPORTE,https://www.argentina.gob.ar/cnrt,America/Argentina/Buenos_Aires,ES,,
78,D.U.V.I. SOCIEDAD ANONIMA,https://www.argentina.gob.ar/cnrt,America/Argentina/Buenos_Aires,ES,,
79,LINEA EXPRESO LINIERS S.A.I.Y C.,https://www.argentina.gob.ar/cnrt,America/Argentina/Buenos_Aires,ES,,
80,EXPRESO SAN ISIDRO S.A.T.C.I.F.I.,https://www.argentina.gob.ar/cnrt,America/Argentina/Buenos_Aires,ES,,
81,TRANSPORTES QUIRNO COSTA S.A.C.I.,https://www.argentina.gob.ar/cnrt,America/Argentina/Buenos_Aires,ES,,
82,MICROOMNIBUS SAAVEDRA S.A.T.A.C.I.,https://www.argentina.gob.ar/cnrt,America/Argentina/Buenos_Aires,ES,,
83,MICROOMNIBUS CUARENTA Y CINCO S.A.C.I.F.,https://www.argentina.gob.ar/cnrt,America/Argentina/Buenos_Aires,ES,,
84,MICROOMNIBUS CIUDAD DE BS.AS. S.A.T.C.I,https://www.argentina.gob.ar/cnrt,America/Argentina/Buenos_Aires,ES,,
85,TRANSPORTES DEL TEJAR S.A.,https://www.argentina.gob.ar/cnrt,America/Argentina/Buenos_Aires,ES,,
86,TRANSPORTES 270 S.A.,https://www.argentina.gob.ar/cnrt,America/Argentina/Buenos_Aires,ES,,
87,TRANSPORTES ALMIRANTE BROWN S.A.,https://www.argentina.gob.ar/cnrt,America/Argentina/Buenos_Aires,ES,,
88,ALMAFUERTE S.A.T.A.C.I.,https://www.argentina.gob.ar/cnrt,America/Argentina/Buenos_Aires,ES,,
89,EMP.DE TRANSP.MICROOMN.SAENZ PEÑA S.R.L.,https://www.argentina.gob.ar/cnrt,America/Argentina/Buenos_Aires,ES,,
90,TRANSPORTES 1º SEPTIEMBRE S.A.,https://www.argentina.gob.ar/cnrt,America/Argentina/Buenos_Aires,ES,,
91,EXPRESO LOMAS S.A.,https://www.argentina.gob.ar/cnrt,America/Argentina/Buenos_Aires,ES,,
92,TRANSPORTES LINEA 123 S.A.C.I.,https://www.argentina.gob.ar/cnrt,America/Argentina/Buenos_Aires,ES,,
93,TRANSPORTES SOL DE MAYO C.I.S.A.,https://www.argentina.gob.ar/cnrt,America/Argentina/Buenos_Aires,ES,,
95,EMPRESA CIUDAD DE SAN FERNANDO SA,https://www.argentina.gob.ar/cnrt,America/Argentina/Buenos_Aires,ES,,
96,CIA ANDRADE EMPRESA DE TRANSPORTE DE PASAJEROS SRL,https://www.argentina.gob.ar/cnrt,America/Argentina/Buenos_Aires,ES,,
97,CIA LA PAZ AMADOR MOURE SACIFIYA,https://www.argentina.gob.ar/cnrt,America/Argentina/Buenos_Aires,ES,,
98,COMPAÑIA ISLEÑA S.R.L.,https://www.argentina.gob.ar/cnrt,America/Argentina/Buenos_Aires,ES,,
99,EMPRESA MICROOMNIBUS LARROQUE LINEA 548 SRL,https://www.argentina.gob.ar/cnrt,America/Argentina/Buenos_Aires,ES,,
101,COMPAÑIA NOROESTE S.A.T.,https://www.argentina.gob.ar/cnrt,America/Argentina/Buenos_Aires,ES,,
102,COMPAÑÍA DE OMNIBUS 25 DE MAYO LINEA 278,https://www.argentina.gob.ar/cnrt,America/Argentina/Buenos_Aires,ES,,
104,COOPERATIVA DE TRABAJO 3 DE JULIO LIMITADA,https://www.argentina.gob.ar/cnrt,America/Argentina/Buenos_Aires,ES,,
108,EMPRESA 501 SA,https://www.argentina.gob.ar/cnrt,America/Argentina/Buenos_Aires,ES,,
109,EMPRESA CINCO DE AGOSTO S.R.L.,https://www.argentina.gob.ar/cnrt,America/Argentina/Buenos_Aires,ES,,
110,EMPRESA DE TRANSPORTE DEL SUR SRL,https://www.argentina.gob.ar/cnrt,America/Argentina/Buenos_Aires,ES,,
112,EMPRESA DE TRANSPORTES SANTA RITA  SRL,https://www.argentina.gob.ar/cnrt,America/Argentina/Buenos_Aires,ES,,
113,EMPRESA TRANSPORTE TRATADO DEL PILAR S.R.L.,https://www.argentina.gob.ar/cnrt,America/Argentina/Buenos_Aires,ES,,
114,EMPRESA DE TRANSPORTES EL LITORAL S.A.,https://www.argentina.gob.ar/cnrt,America/Argentina/Buenos_Aires,ES,,
115,EMPRESA DEL OESTE SAT,https://www.argentina.gob.ar/cnrt,America/Argentina/Buenos_Aires,ES,,
116,EMPRESA J.M. EZEIZA S.R.L.,https://www.argentina.gob.ar/cnrt,America/Argentina/Buenos_Aires,ES,,
117,EMPRESA LINEA SIETE SAT,https://www.argentina.gob.ar/cnrt,America/Argentina/Buenos_Aires,ES,,
118,EMPRESA MONTE GRANDE S.A. LINEA 501,https://www.argentina.gob.ar/cnrt,America/Argentina/Buenos_Aires,ES,,
119,EMRESA MONTERREY S.R.L. ,https://www.argentina.gob.ar/cnrt,America/Argentina/Buenos_Aires,ES,,
120,EMPRESA NUEVE DE JULIO S.A.T.,https://www.argentina.gob.ar/cnrt,America/Argentina/Buenos_Aires,ES,,
122,EXPRESO EMPALME LOBOS S.R.L.,https://www.argentina.gob.ar/cnrt,America/Argentina/Buenos_Aires,ES,,
123,EXPRESO ESTEBAN ECHEVERRIA S.R.L.,https://www.argentina.gob.ar/cnrt,America/Argentina/Buenos_Aires,ES,,
124,EXPRESO NUEVE DE JULIO S.A.,https://www.argentina.gob.ar/cnrt,America/Argentina/Buenos_Aires,ES,,
125,EXPRESO PARQUE EL LUCERO S.A. DE TRANSPORTES,https://www.argentina.gob.ar/cnrt,America/Argentina/Buenos_Aires,ES,,
127,EXPRESO VILLA GALICIA  SAN JOSE S.A.,https://www.argentina.gob.ar/cnrt,America/Argentina/Buenos_Aires,ES,,
128,EXPRESO VILLA NUEVA S.A.,https://www.argentina.gob.ar/cnrt,America/Argentina/Buenos_Aires,ES,,
