trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled
A01,12:00:00,12:00:24,1076S,1,,,,0.06
A01,12:00:58,12:01:22,1075S,2,,,,0.34
A01,12:02:06,12:02:30,1074S,3,,,,0.71
A01,12:03:15,12:03:39,1073S,4,,,,1.08
A01,12:04:25,12:04:49,1072S,5,,,,1.46
A01,12:05:57,12:06:21,1071S,6,,,,2.02
A01,12:07:51,12:08:15,1069S,7,,,,2.76
A01,12:09:07,12:09:31,1068S,8,,,,3.32
A01,12:11:24,12:11:48,1067S,9,,,,4.11
A01,12:13:03,12:13:27,1066S,10,,,,4.73
A01,12:15:03,12:15:27,1065S,11,,,,5.52
A01,12:16:50,12:17:14,1064S,12,,,,6.2
A01,12:18:23,12:18:47,1063S,13,,,,6.78
A01,12:20:19,12:20:43,1062S,14,,,,7.54
A01,12:22:12,12:22:36,1061S,15,,,,8.28
A01,12:24:08,12:24:32,1060S,16,,,,9.03
A01,12:25:53,12:26:17,1059S,17,,,,9.69
A02,12:00:00,12:00:24,1076S,1,,,,0.06
A02,12:00:58,12:01:22,1075S,2,,,,0.34
A02,12:02:06,12:02:30,1074S,3,,,,0.71
A02,12:03:15,12:03:39,1073S,4,,,,1.08
A02,12:04:25,12:04:49,1072S,5,,,,1.46
A02,12:05:57,12:06:21,1071S,6,,,,2.02
A02,12:07:51,12:08:15,1069S,7,,,,2.76
A02,12:09:07,12:09:31,1068S,8,,,,3.32
A02,12:11:24,12:11:48,1067S,9,,,,4.11
A02,12:13:03,12:13:27,1066S,10,,,,4.73
A02,12:15:03,12:15:27,1065S,11,,,,5.52
A02,12:16:50,12:17:14,1064S,12,,,,6.2
A02,12:18:23,12:18:47,1063S,13,,,,6.78
A02,12:20:19,12:20:43,1062S,14,,,,7.54
A02,12:22:12,12:22:36,1061S,15,,,,8.28
A02,12:24:08,12:24:32,1060S,16,,,,9.03
A02,12:25:53,12:26:17,1059S,17,,,,9.69
A03,12:00:00,12:00:24,1076S,1,,,,0.06
A03,12:00:58,12:01:22,1075S,2,,,,0.34
A03,12:02:06,12:02:30,1074S,3,,,,0.71
A03,12:03:15,12:03:39,1073S,4,,,,1.08
A03,12:04:25,12:04:49,1072S,5,,,,1.46
A03,12:05:57,12:06:21,1071S,6,,,,2.02
A03,12:07:51,12:08:15,1069S,7,,,,2.76
A03,12:09:07,12:09:31,1068S,8,,,,3.32
A03,12:11:24,12:11:48,1067S,9,,,,4.11
A03,12:13:03,12:13:27,1066S,10,,,,4.73
A03,12:15:03,12:15:27,1065S,11,,,,5.52
A03,12:16:50,12:17:14,1064S,12,,,,6.2
A03,12:18:23,12:18:47,1063S,13,,,,6.78
A03,12:20:19,12:20:43,1062S,14,,,,7.54
A03,12:22:12,12:22:36,1061S,15,,,,8.28
A03,12:24:08,12:24:32,1060S,16,,,,9.03
A03,12:25:53,12:26:17,1059S,17,,,,9.69
A11,12:00:00,12:00:24,1059N,1,,,,0.07
A11,12:01:45,12:02:09,1060N,2,,,,0.73
A11,12:03:41,12:04:05,1061N,3,,,,1.48
A11,12:05:34,12:05:58,1062N,4,,,,2.22
A11,12:07:30,12:07:54,1063N,5,,,,2.98
A11,12:09:03,12:09:27,1064N,6,,,,3.56
A11,12:10:50,12:11:14,1065N,7,,,,4.24
A11,12:12:50,12:13:14,1066N,8,,,,5.03
A11,12:14:29,12:14:53,1067N,9,,,,5.65
A11,12:16:46,12:17:10,1068N,10,,,,6.44
A11,12:18:29,12:18:53,1070N,11,,,,7.22
A11,12:19:56,12:20:20,1071N,12,,,,7.74
A11,12:21:28,12:21:52,1072N,13,,,,8.3
A11,12:22:38,12:23:02,1073N,14,,,,8.68
A11,12:23:47,12:24:11,1074N,15,,,,9.05
A11,12:24:55,12:25:19,1075N,16,,,,9.42
A11,12:25:53,12:26:17,1076N,17,,,,9.7
A12,12:00:00,12:00:24,1059N,1,,,,0.07
